PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE
,,,
CALUMET,11,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
CALUMET,11,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
CALUMET,11,FOOTBALL/SOCCER COMBO FLD,OUTDOOR
,,,
CALUMET,11,FITNESS CENTER,INDOOR
,,,
CALUMET,11,GYMNASIUM,INDOOR
,,,
CALUMET,11,HORSESHOE COURT,OUTDOOR
,,,
CALUMET,11,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
CALUMET,11,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
CALUMET,11,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
CALUMET,11,ARTIFICIAL TURF FIELD,OUTDOOR
,,,
CALUMET,11,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
CALUMET,11,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
CALUMET,11,BASEBALL JR/SOFTBALL,OUTDOOR
,,,
